epoch,train_loss,val_loss,lr,grad_norm,time_sec,best_val,early_cnt,adj_entropy_mean,adj_max_mean,adj_diag_mean,val_overall_rmse,val_overall_mae
1,0.1274365262650862,0.07588350455382187,0.001,0.2570684552192688,45.1569607257843,0.07588350455382187,0,0.4153839945793152,0.8422712683677673,0.8060755729675293,72.03300025248656,40.30604393863512
2,0.0761763501730634,0.07741275139776944,0.001,0.3064878284931183,24.925950527191162,0.07588350455382187,1,0.40691888332366943,0.8353188037872314,0.8135465383529663,68.82572030017603,39.31402012405224
3,0.06880594841772464,0.055410801868867404,0.001,0.15101654827594757,25.036007165908813,0.055410801868867404,0,0.32889091968536377,0.9054074287414551,0.9054074287414551,49.13164982767968,29.158959727665717
4,0.05946087410628069,0.05171439567296376,0.001,0.21817266941070557,24.857218265533447,0.05171439567296376,0,0.19328463077545166,0.9630646109580994,0.9630646109580994,45.05035883259848,25.752639120113585
5,0.05618903366167371,0.048421385794364176,0.001,0.17303431034088135,25.177414417266846,0.048421385794364176,0,0.177287757396698,0.967711329460144,0.967711329460144,42.341121560682765,23.801071129459732
6,0.05402731641491012,0.047242081591061184,0.001,0.23648016154766083,25.126179218292236,0.047242081591061184,0,0.182043194770813,0.9666613340377808,0.9666613340377808,40.895705908459156,23.119326543166533
7,0.05265582396489818,0.045931244498403204,0.001,0.16036377847194672,25.173108100891113,0.045931244498403204,0,0.18897613883018494,0.9650793075561523,0.9650793075561523,40.156374703162555,22.772103632411362
8,0.05186564239060006,0.045386174803810755,0.001,0.13523100316524506,25.099244356155396,0.045386174803810755,0,0.18738509714603424,0.9653971195220947,0.9653971195220947,39.644774079880015,22.643121820444016
9,0.05110075180759517,0.045559946933917225,0.001,0.11057072132825851,25.10501003265381,0.045386174803810755,1,0.20094254612922668,0.9623267650604248,0.9623267650604248,39.85061620586568,22.695979134951244
10,0.05076682403592802,0.04554605676696218,0.001,0.10716308653354645,25.138023376464844,0.045386174803810755,2,0.2054900974035263,0.9612736701965332,0.9612736701965332,40.07662410983386,22.815176433525373
11,0.05022959852727448,0.044869052136105855,0.001,0.11921042948961258,25.069737672805786,0.044869052136105855,0,0.2066107839345932,0.9610050320625305,0.9610050320625305,39.64791194200992,22.48641642221527
12,0.05007395787936885,0.044456296109507236,0.001,0.226530984044075,25.07275080680847,0.044456296109507236,0,0.20926238596439362,0.9603405594825745,0.9603405594825745,39.62735595379637,22.278735336274075
13,0.04994636917623078,0.043949335217108865,0.001,0.12653720378875732,25.073132753372192,0.043949335217108865,0,0.20447346568107605,0.9614289999008179,0.9614289999008179,39.25603895456174,21.721520067104173
14,0.049198124035284285,0.044301240700365875,0.001,0.10600355267524719,25.264986753463745,0.043949335217108865,1,0.21053622663021088,0.9599556922912598,0.9599556922912598,38.82447462340326,21.88388894953799
15,0.04919625974555568,0.044425522073589525,0.001,0.16526302695274353,25.151535749435425,0.043949335217108865,2,0.21295598149299622,0.9593806266784668,0.9593806266784668,39.67500005724869,22.1827390420222
16,0.04904678179541739,0.044184576527311885,0.001,0.14414772391319275,25.159613609313965,0.043949335217108865,3,0.2086276113986969,0.9604182839393616,0.9604182839393616,37.34328931030357,21.795012430327255
17,0.0485010359118261,0.04389330034552537,0.001,0.12930363416671753,25.09399962425232,0.04389330034552537,0,0.22266408801078796,0.9569720029830933,0.9569720029830933,38.83529954348703,21.887446701505816
18,0.048370271780323694,0.043793067216799764,0.001,0.1657683104276657,25.117342472076416,0.043793067216799764,0,0.21844622492790222,0.9580177664756775,0.9580177664756775,38.56423142895398,21.806940731440516
19,0.04854870777031997,0.04319145161603472,0.001,0.1677556335926056,25.111204624176025,0.04319145161603472,0,0.2201135754585266,0.9576347470283508,0.9576347470283508,37.895460935511295,21.261324782490593
20,0.04813268522209511,0.04375983574634115,0.001,0.20082904398441315,25.100183248519897,0.04319145161603472,1,0.2233441025018692,0.9568315744400024,0.9568315744400024,37.95508391242584,21.618168731083568
21,0.04837792833767286,0.046414749430758614,0.001,0.1652081459760666,25.139840364456177,0.04319145161603472,2,0.21861661970615387,0.957975447177887,0.957975447177887,42.37654024947948,23.22959141389333
22,0.04810473833960004,0.04515472307727842,0.001,0.150969997048378,25.049135446548462,0.04319145161603472,3,0.2209482491016388,0.9573585987091064,0.9573585987091064,38.993560102804985,22.701178094461596
23,0.048326954986082346,0.04386660929200391,0.0005,0.23140057921409607,25.102816820144653,0.04319145161603472,4,0.21465009450912476,0.9589773416519165,0.9589773416519165,38.749417754434845,21.58118262969064
24,0.04672899089026742,0.04365664942584602,0.0005,0.1256590038537979,25.148812532424927,0.04319145161603472,5,0.22267195582389832,0.9568898677825928,0.9568898677825928,37.80936418560417,21.70629179639366
25,0.04653681442141533,0.04307904760605596,0.0005,0.154610276222229,25.24038290977478,0.04307904760605596,0,0.23017866909503937,0.9550248384475708,0.9550248384475708,37.60522212225671,21.205512004009144
26,0.04661090052345904,0.043736133953840864,0.0005,0.14952202141284943,25.01178765296936,0.04307904760605596,1,0.22918221354484558,0.955265998840332,0.955265998840332,37.85659779386392,21.711755425096413
27,0.0465574322540949,0.043841683053471185,0.0005,0.16817285120487213,25.02499270439148,0.04307904760605596,2,0.22705334424972534,0.9558215141296387,0.9558215141296387,38.242669431968544,21.808627566276275
28,0.046358711195246476,0.043157512799198994,0.0005,0.18164022266864777,25.148312091827393,0.04307904760605596,3,0.23111018538475037,0.9547550678253174,0.9547550678253174,37.23613466295608,21.63605161977512
29,0.04634220694169039,0.04249901062088647,0.0005,0.21720342338085175,25.170825004577637,0.04249901062088647,0,0.22923290729522705,0.9552733898162842,0.9552733898162842,36.94954820316583,21.093912144192736
30,0.04631866458349112,0.04318461074434184,0.0005,0.12116626650094986,34.81694459915161,0.04249901062088647,1,0.23290058970451355,0.9543615579605103,0.9543615579605103,37.71867546823639,21.271834153188596
31,0.046498117309699695,0.04315238094572069,0.0005,0.16608701646327972,25.181540489196777,0.04249901062088647,2,0.22920069098472595,0.9552772045135498,0.9552772045135498,37.971151529975,21.470519062010972
32,0.046434182028581454,0.04282279841124718,0.0005,0.17707958817481995,25.11817455291748,0.04249901062088647,3,0.22906722128391266,0.9553049802780151,0.9553049802780151,38.0112146393051,21.281562902128613
33,0.04634863554795341,0.04359329800153601,0.00025,0.138230562210083,25.282123565673828,0.04249901062088647,4,0.22830207645893097,0.95545494556427,0.95545494556427,38.485884643060196,21.52953123260666
34,0.045558852920445,0.043218214367631035,0.00025,0.16459713876247406,25.091840267181396,0.04249901062088647,5,0.23320917785167694,0.9541952610015869,0.9541952610015869,36.967891318047016,21.420868719822895
35,0.04545575815093954,0.04384074466569083,0.00025,0.19234880805015564,25.273236513137817,0.04249901062088647,6,0.23406574130058289,0.9540136456489563,0.9540136456489563,38.846023953011034,21.68957192771323
36,0.04540804562317889,0.043114497046458894,0.00025,0.21088778972625732,25.37138342857361,0.04249901062088647,7,0.23478561639785767,0.9538118839263916,0.9538118839263916,37.278449516023606,21.48503039643703
37,0.04544349270532044,0.04260647593277135,0.000125,0.1890868842601776,25.112428903579712,0.04249901062088647,8,0.23478901386260986,0.9538235068321228,0.9538235068321228,36.39394657497336,21.020190434021146
38,0.04496676266738554,0.04238418341050007,0.000125,0.10266309976577759,25.091885566711426,0.04238418341050007,0,0.2358931005001068,0.9535230994224548,0.9535230994224548,36.59583271866707,21.006421655796927
39,0.04495070683429154,0.04323482057400819,0.000125,0.1868983656167984,25.41924023628235,0.04238418341050007,1,0.2378082275390625,0.9530220627784729,0.9530220627784729,37.42139089488372,21.401273938807577
40,0.044931759839741195,0.04342349178244915,0.000125,0.2920590043067932,25.20219087600708,0.04238418341050007,2,0.2377159595489502,0.9530628323554993,0.9530628323554993,37.174461269935726,21.440713738260637
41,0.04490581925776674,0.04381661268474139,0.000125,0.22982196509838104,25.036856174468994,0.04238418341050007,3,0.2389654815196991,0.9527419805526733,0.9527419805526733,37.053191585603955,21.787277181261633
42,0.04487007150381077,0.042793199245639034,6.25e-05,0.24142052233219147,25.03190565109253,0.04238418341050007,4,0.2380073368549347,0.9529985785484314,0.9529985785484314,36.45856189755143,21.162669100520763
43,0.04460908952737,0.04254831491139135,6.25e-05,0.18431001901626587,25.091197729110718,0.04238418341050007,5,0.23841330409049988,0.9528841972351074,0.9528841972351074,36.50592168210038,21.057807331022172
44,0.044591751299435045,0.043135631022048114,6.25e-05,0.21932557225227356,25.086344718933105,0.04238418341050007,6,0.2390274852514267,0.9527257680892944,0.9527257680892944,36.68419284330026,21.340294892233292
45,0.04456550563435729,0.04303431786193049,6.25e-05,0.13333389163017273,25.05352544784546,0.04238418341050007,7,0.24043674767017365,0.952372670173645,0.952372670173645,36.74937532710183,21.29583722041988
46,0.04457715490333191,0.04286731798844091,3.125e-05,0.402692586183548,33.92521071434021,0.04238418341050007,8,0.24006113409996033,0.9524509906768799,0.9524509906768799,36.79300258951488,21.286095292164568
47,0.04442710043726171,0.0427004831104443,3.125e-05,0.12959034740924835,28.055680990219116,0.04238418341050007,9,0.2395506352186203,0.9525810480117798,0.9525810480117798,36.804298712726776,21.12696592740367
48,0.044471878435735294,0.042759683368534876,3.125e-05,0.19069045782089233,25.18519163131714,0.04238418341050007,10,0.2400636523962021,0.9524496793746948,0.9524496793746948,36.76812992337441,21.171062877160104
